央视,#genre#
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
CCTV2,http://guot55.serv00.net/ysp2.php?id=cctv2
CCTV3,http://guot55.serv00.net/ysp2.php?id=cctv3
CCTV4,http://guot55.serv00.net/ysp2.php?id=cctv4
CCTV5,http://guot55.serv00.net/ysp2.php?id=cctv5
CCTV5+,http://guot55.serv00.net/ysp2.php?id=cctv5p
CCTV6,http://guot55.serv00.net/ysp2.php?id=cctv6
CCTV7,http://guot55.serv00.net/ysp2.php?id=cctv7
CCTV8,http://guot55.serv00.net/ysp2.php?id=cctv8
CCTV9,http://guot55.serv00.net/ysp2.php?id=cctv9
CCTV10,http://guot55.serv00.net/ysp2.php?id=cctv10
CCTV11,http://guot55.serv00.net/ysp2.php?id=cctv11
CCTV12,http://guot55.serv00.net/ysp2.php?id=cctv12
CCTV13,http://guot55.serv00.net/ysp2.php?id=cctv13
CCTV14,http://guot55.serv00.net/ysp2.php?id=cctv14
CCTV15,http://guot55.serv00.net/ysp2.php?id=cctv15
CCTV16,http://guot55.serv00.net/ysp2.php?id=cctv16
CCTV16,http://guot55.serv00.net/ysp2.php?id=cctv16-4k
CCTV17,http://guot55.serv00.net/ysp2.php?id=cctv17
CCTV2,http://183.92.4.163:4000/udp/228.0.0.2:6108
CCTV3,http://183.92.4.163:4000/udp/228.0.0.156:7156
CCTV4,http://183.92.4.163:4000/udp/228.0.0.143:7143
CCTV5,http://183.92.4.163:4000/udp/228.0.0.112:6108
CCTV5+,http://183.92.4.163:4000/udp/228.0.0.17:6108
CCTV6,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV7,http://183.92.4.163:4000/udp/228.0.0.7:6108
CCTV8,http://183.92.4.163:4000/udp/228.0.0.158:7158
CCTV9,http://183.92.4.163:4000/udp/228.0.0.9:6108
CCTV10,http://183.92.4.163:4000/udp/228.0.0.10:6108
CCTV11,http://183.92.4.163:4000/udp/228.0.0.242:6108
CCTV12,http://183.92.4.163:4000/udp/228.0.0.12:6108
CCTV13,http://183.92.4.163:4000/udp/228.0.0.202:6108
CCTV14,http://183.92.4.163:4000/udp/228.0.0.14:6108
CCTV15,http://183.92.4.163:4000/udp/228.0.0.15:6108
CCTV16,http://183.92.4.163:4000/udp/228.0.0.249:6108
CCTV17,http://183.92.4.163:4000/udp/228.0.0.161:7161
CCTV2,http://ik6.iptv8.net:8888/udp/225.1.4.74:1103
CCTV3,http://ik6.iptv8.net:8888/udp/225.1.4.158:1194
CCTV4,http://ik6.iptv8.net:8888/udp/225.1.5.30:1333
CCTV4欧洲,http://ik6.iptv8.net:8888/udp/225.1.5.31:1342
CCTV4美洲,http://ik6.iptv8.net:8888/udp/225.1.5.32:1343
CCTV5,http://ik6.iptv8.net:8888/udp/225.1.4.159:1195
CCTV5+,http://ik6.iptv8.net:8888/udp/225.1.4.75:1104
CCTV6,http://ik6.iptv8.net:8888/udp/225.1.4.160:1196
CCTV7,http://ik6.iptv8.net:8888/udp/225.1.4.76:1105
CCTV8,http://ik6.iptv8.net:8888/udp/225.1.4.161:1197
CCTV9,http://ik6.iptv8.net:8888/udp/225.1.4.77:1106
CCTV11,http://ik6.iptv8.net:8888/udp/225.1.4.215:1268
CCTV12,http://ik6.iptv8.net:8888/udp/225.1.4.79:1108
CCTV13,http://ik6.iptv8.net:8888/udp/225.1.4.113:1293
CCTV14,http://ik6.iptv8.net:8888/udp/225.1.4.80:1109
CCTV15,http://ik6.iptv8.net:8888/udp/225.1.4.216:1269
CCTV17,http://ik6.iptv8.net:8888/udp/225.1.4.226:2506
CGTN英语,http://ik6.iptv8.net:8888/udp/225.1.5.34:1344
CGTN记录,http://ik6.iptv8.net:8888/udp/225.1.5.35:1345
CGTN西语,http://ik6.iptv8.net:8888/udp/225.1.5.36:1346
CGTN法语,http://ik6.iptv8.net:8888/udp/225.1.5.37:1347
CGTN阿语,http://ik6.iptv8.net:8888/udp/225.1.5.38:1348
CGTN俄语,http://ik6.iptv8.net:8888/udp/225.1.5.39:1349
CHC高清电影,http://ik6.iptv8.net:8888/udp/225.1.4.207:1260
CHC动作电影,http://ik6.iptv8.net:8888/udp/225.1.4.208:1261
CHC家庭影院,http://ik6.iptv8.net:8888/udp/225.1.4.209:1262
CCTV2,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV1,http://sgl.vpsyun.cc:4000/udp/239.253.238.77:8000
CCTV1,http://vpn.1023.ltd:8888/udp/239.253.224.77:8000
CCTV1,http://221.1.143.246:9998/udp/239.253.250.77:8000
CCTV1,http://www.cjtt.love:9307/rtp/239.253.250.77:8000
CCTV1,http://www.sd966.cn:12314/rtp/239.253.252.77:8000
CCTV1,http://router.bingyu.in:40000/rtp/239.253.252.77:8000
CCTV1,http://ty.19911013.top:8888/rtp/239.253.230.77:8000
CCTV1,http://wh.bh3bbb.com:40000/rtp/239.253.230.77:8000
CCTV1,http://xuweihome.asuscomm.com:3333/rtp/239.253.230.77:8000
CCTV1,http://h.moying.work:8999/rtp/239.253.232.77:8000
CCTV1,http://wuqianmu.synology.me:4000/udp/232.0.0.27:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.27:1234
CCTV1,http://gang.pecmd.cn:6000/udp/232.0.0.27:1234
CCTV1,http://rt4.orangevip.top:8999/udp/232.0.0.27:1234
CCTV1,http://kui123.asuscomm.com:4022/udp/232.0.0.27:1234
CCTV1,http://kui.i234.me:4022/udp/232.0.0.27:1234
CCTV1,http://lt.wuqianmu.cn:4000/udp/232.0.0.27:1234
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.213:9244
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.214:9246
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.216:9250
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.27:8808
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.1:8628
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.217:9252
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.218:9254
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.219:9256
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.220:9258
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.222:9266
CCTV1,http://dlttyxgx.x3322.net:4000/udp/232.0.0.15:8638
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.213:9244
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.214:9246
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.216:9250
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.27:8808
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.1:8628
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.217:9252
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.218:9254
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.219:9256
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.220:9258
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.222:9266
CCTV1,http://c.qrj.ink:8099/udp/232.0.0.15:8638
CCTV1,http://iptv.huaz.site:4000/udp/239.21.1.120:5002
CCTV1,http://iptv.huaz.site:4000/udp/239.21.1.1:5002
CCTV1,http://suntao.asia:18888/udp/239.21.1.120:5002
CCTV1,http://suntao.asia:18888/udp/239.21.1.1:5002
CCTV1,http://sunny2017.forver.one:4022/udp/239.21.1.120:5002
CCTV1,http://sunny2017.forver.one:4022/udp/239.21.1.1:5002
CCTV1,http://www.lancemao.top:8686/udp/239.21.1.120:5002
CCTV1,http://www.lancemao.top:8686/udp/239.21.1.1:5002
CCTV1,http://www.linshuboy.cn:48888/udp/239.253.242.77:8000
CCTV1,http://bingujie.jiaoyutao.icu:6060/udp/239.253.242.77:8000
CCTV1,http://tg520.top:8079/udp/239.253.242.77:8000
CCTV1,http://sddz.picp.net:4000/udp/239.253.242.77:8000
CCTV1,http://hotpi.live-on.net:4000/udp/239.253.242.77:8000
CCTV1,http://www.dongge2335.cn:8088/udp/239.253.242.77:8000
CCTV1,http://lnwy.com:8022/udp/239.253.242.77:8000
CCTV1,http://xyby1.dynv6.net:1234/rtp/239.253.240.1:8000
CCTV1,http://xyby1.dynv6.net:1234/rtp/239.253.240.77:8000
CCTV1,http://wangxl.eu.org:4022/udp/239.253.254.77:8000
CCTV1,http://annaxi.lw-home.com:11111/udp/239.253.254.77:8000
CCTV1,http://zhaozh.info:4022/udp/239.253.254.77:8000
CCTV1,http://annaxi.yifinal.com:11111/udp/239.253.254.77:8000
CCTV1,http://39.86.251.222:8888/udp/239.253.248.77:8000
CCTV1,http://39.73.149.69:7000/udp/239.253.248.77:8000
CCTV1,http://27.198.11.62:10000/udp/239.253.244.77:8000
CCTV1,http://op.iakin.cn:8888/udp/239.253.244.77:8000
CCTV1,http://everxin.myds.me:4000/udp/239.253.246.77:8000
CCTV1,http://a.chufan.cc:4001/udp/239.253.246.77:8000
CCTV1,http://lovegfs.top:8000/udp/239.120.1.120:8778
CCTV1,http://lovegfs.top:8000/udp/239.120.1.52:8350
CCTV1,http://lovegfs.top:8000/udp/239.120.1.119:8260
CCTV1,http://lovegfs.top:8000/udp/239.120.1.184:9160
CCTV1,http://lovegfs.top:8000/udp/239.120.2.42:5141
CCTV1,http://lovegfs.top:8000/udp/239.120.2.145:5141
CCTV1,http://lovegfs.top:8000/udp/239.120.2.220:5141
CCTV1,http://220.175.145.147:9000/rtp/239.252.219.200:5140
CCTV1,http://gzly.hkychina.com:6002/udp/239.252.219.200:5140
CCTV1,http://gzly.softether.net:6005/udp/239.252.219.200:5140
CCTV1,http://mi4.xyz:8888/udp/239.76.253.151:9000
CCTV1,http://mi4.xyz:8888/udp/239.76.251.87:9000
CCTV1,http://www.tk1986.top:8888/udp/239.76.253.151:9000
CCTV1,http://www.tk1986.top:8888/udp/239.76.251.87:9000
CCTV1,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.253.151:9000
CCTV1,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.251.87:9000
