⏹电视综合▶,#genre#
淘Baby,http://221.219.101.215:8012/rtp/239.3.1.238:8001
淘电影,http://221.219.101.215:8012/rtp/239.3.1.250:8001
淘精彩,http://221.219.101.215:8012/rtp/239.3.1.178:8001
淘剧场,http://221.219.101.215:8012/rtp/239.3.1.95:8001
淘娱乐,http://221.219.101.215:8012/rtp/239.3.1.100:8001

CHC动作电影,http://enlen.vip:4022/udp/239.200.201.31:8144
CHC影迷电影,http://enlen.vip:4022/udp/239.200.201.34:8148
CHC家庭影院,http://enlen.vip:4022/udp/239.200.201.30:8140

CHC动作电影,http://www.yao87.com:4022/udp/239.76.245.243:1234
CHC家庭影院,http://www.yao87.com:4022/udp/239.76.245.241:1234
CHC影迷电影,http://www.yao87.com:4022/udp/239.76.245.242:1234

CHC动作电影,http://222.67.181.60:8888/udp/239.45.0.41:5140
CHC影迷电影,http://222.67.181.60:8888/udp/239.45.0.42:5140
CHC家庭影院,http://222.67.181.60:8888/udp/239.45.0.40:5140
CHC家庭影院,http://222.67.181.60:8888/udp/239.45.1.22:5140

CHC动作电影,http://36.47.83.25:8020/rtp/239.112.205.207:5140
CHC影迷电影,http://36.47.83.25:8020/rtp/239.112.205.206:5140
CHC家庭影院,http://36.47.83.25:8020/rtp/239.112.205.205:5140

凤凰中文,http://112.44.6.47:4022/udp/239.11.0.153:5140
凤凰资讯,http://112.44.6.47:4022/udp/239.11.0.154:5140
星空卫视,http://112.44.6.47:4022/udp/239.11.0.156:5140
[V],http://112.44.6.47:4022/udp/239.11.0.155:5140

凤凰中文,http://118.122.103.228:4022/udp/239.93.1.9:2192
凤凰中文,http://118.122.103.228:4022/udp/239.93.0.162:2192
凤凰资讯,http://118.122.103.228:4022/udp/239.93.1.4:2191
凤凰资讯,http://118.122.103.228:4022/udp/239.93.0.118:2191
[V],http://118.122.103.228:4022/udp/239.93.1.7:2194
[V],http://118.122.103.228:4022/udp/239.93.0.157:2194

凤凰中文,http://www.372583307.top:4022/rtp/233.50.200.191:5140
凤凰资讯,http://www.372583307.top:4022/rtp/233.50.200.192:5140

凤凰中文,http://www.yao87.com:4022/udp/239.76.246.135:1234
凤凰中文,http://www.yao87.com:4022/udp/239.76.253.135:9000
凤凰资讯,http://www.yao87.com:4022/udp/239.76.246.134:1234
凤凰资讯,http://www.yao87.com:4022/udp/239.76.253.134:9000


澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
靖宇综合,http://stream8.jlntv.cn/jytv/sd/live.m3u8

眉山综合,https://live1.scmstv.cn/gqpd/88R9mzwErVTp/live.m3u8
眉山文旅乡村,https://live1.scmstv.cn/ggpd/RsnB7K9NN2k9/live.m3u8
眉山洪雅新闻综合,http://117.172.215.250:8083/videos/live/35/39/GQVbrgob5CGJM/GQVbrgob5CGJM.M3U8
眉山青神综合,http://lmt.scqstv.com/live1/live1.m3u8
CDTV-1成都综合,https://tv.cry33.com/cdtvflv.php?id=cdxwzh
CDTV-2成都经济,https://tv.cry33.com/cdtvflv.php?id=cdjjzx
CDTV-3成都生活,https://tv.cry33.com/cdtvflv.php?id=cddssh
CDTV-4成都影视,https://tv.cry33.com/cdtvflv.php?id=cdyswy
CDTV-5成都公共,https://tv.cry33.com/cdtvflv.php?id=cdgg
CDTV-6成都少儿,https://tv.cry33.com/cdtvflv.php?id=cdse
CDTV成都蓉城先锋,https://tv.cry33.com/cdtvflv.php?id=cdrcxf
成华有线TV,https://tv.cry33.com/cdtvflv.php?id=chyx
都江堰TV,https://tv.cry33.com/cdtvflv.php?id=djytv
金牛TV,https://tv.cry33.com/cdtvflv.php?id=jntv
金堂TV,https://tv.cry33.com/cdtvflv.php?id=jttv
锦江TV,https://tv.cry33.com/cdtvflv.php?id=jjtv
崇州TV,https://tv.cry33.com/cdtvflv.php?id=cztv
彭州TV,https://tv.cry33.com/cdtvflv.php?id=pztv
蒲江TV,https://tv.cry33.com/cdtvflv.php?id=pjtv
青白江TV,https://tv.cry33.com/cdtvflv.php?id=qbjtv
青羊TV,https://tv.cry33.com/cdtvflv.php?id=qytv
邛崃TV,https://tv.cry33.com/cdtvflv.php?id=qltv
温江TV,https://tv.cry33.com/cdtvflv.php?id=wjtv
武侯TV,https://tv.cry33.com/cdtvflv.php?id=whtv
新津TV,https://tv.cry33.com/cdtvflv.php?id=xjtv
新都新闻综合,https://tv.cry33.com/cdtvflv.php?id=xdzh
简阳新闻综合,https://tv.cry33.com/cdtvflv.php?id=jyxwzh
龙泉综合,https://tv.cry33.com/cdtvflv.php?id=lqzh
郫都新闻综合,https://tv.cry33.com/cdtvflv.php?id=pdxwzh
双流综合,https://tv.cry33.com/cdtvflv.php?id=slzh
大邑综合,https://tv.cry33.com/cdtvflv.php?id=dyxwzh
甘孜新闻综合,http://tv.drs.ganzitv.com:8100/channellive/gztv.flv
龙泉驿新闻综合,https://live-pull.newslqy.com/live/fmzb1682404988829.m3u8#http://live-pull.newslqy.com/live/fmzb1682404988829.m3u8
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8?ztianjd
滨海影院,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8?ztianjd
滨海综艺,http://traffic.jbh.tjbh.com/live/bhtv2/playlist.m3u8?ztianjd
德阳新闻,http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8
德阳文旅科教,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8?zsicd
甘孜综合,http://tv.drs.ganzitv.com:8100/channellive/gztv.flv
金川新闻综合,http://live.jinchuanrmt.com:90/live/zhxw.m3u8?zsicd
康定新闻综合,http://m3u8-kd.channel.ganzitv.com/nmip-media-yajiang/channellive/channel100663/playlist.m3u8?zsicd
乐至综合,http://rmlive.lzxrmtzx.com/live1/live1.m3u8?zsicd
乐至综合,http://175.155.106.72:89/live1/live1.m3u8?zsicd
利州综合,http://tv.drs.lzgbdst.com:8100/channellive/lztv2.flv?zsicd
利州综合,http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8?zsicd
泸县新闻综合,http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8?zsicd
马尔康综合,http://live.zmmek.com:90/live/zhxw.m3u8?zsicd
马尔康综合,https://epg.pw/stream/730624d47482fed3331196e40e506833a98c72142af419b50c098c0fdedb850b.m3u8
什邡新闻综合,http://live.sfrmt.com:85/live/zhpd.m3u8?zsicd
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8?zsicd
万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8?zsicd
汶川新闻综合,http://live.iwcmt.cn:90/live/zhxw.m3u8?zsicd
叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8?zsicd
营山电视台,http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8?zsicd
长宁综合,http://cnpull.sccnfb.com/live/123456.m3u8?zsicd
峨眉山综合,https://embl.emsyd.jrem.cn/aaa/003.m3u8?auth_key=1669861584-0-0-f96c19f553b976f1f9800423b10baa5b
峨眉山综合,https://embl.emsyd.jrem.cn:443/aaa/003.m3u8?auth_key=1669861584-0-0-f96c19f553b976f1f9800423b10baa5b
自贡综合,http://110.189.153.160:1001/zhpd.flv?zsicd
自贡公共,http://110.189.153.160:1002/ggpd.flv
广元文化生活,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv
达州新闻,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
达州文化生活,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
广安文旅乡村,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
巴中综合,http://ocj2.kksmg.com/ocj1/ocj1.m3u8
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8
凉山彝语综合,http://file.yizu.tv/nmip-media/channellive/channel107323/playlist.m3u8

⏹四川电信▶,#genre#
四川SCTV-7,http://118.122.103.228:4022/udp/239.93.0.219:5140
四川峨眉电影,http://118.122.103.228:4022/udp/239.93.0.252:5140
四川经济,http://118.122.103.228:4022/udp/239.93.1.101:5140
四川科教,http://118.122.103.228:4022/udp/239.93.1.146:5140
四川文化旅游,http://118.122.103.228:4022/udp/239.93.1.102:5140
四川乡村,http://118.122.103.228:4022/udp/239.93.0.52:5140
四川新闻,http://118.122.103.228:4022/udp/239.93.0.47:5140
四川星空购物,http://118.122.103.228:4022/udp/239.93.1.144:5140
四川影视文艺,http://118.122.103.228:4022/udp/239.93.0.166:5140

凤凰中文,http://118.122.103.228:4022/udp/239.93.1.9:2192
凤凰中文,http://118.122.103.228:4022/udp/239.93.0.162:2192
凤凰资讯,http://118.122.103.228:4022/udp/239.93.1.4:2191
凤凰资讯,http://118.122.103.228:4022/udp/239.93.0.118:2191
[V],http://118.122.103.228:4022/udp/239.93.1.7:2194
