天津联通,#genre#

//mi.homeway.top:8888



CCTV-1,http://bitwarden.hssvm.com:8888/udp/225.1.1.12:5002$天津联通 组播
CCTV-1,http://mi.homeway.top:8888/udp/225.1.1.120:5002$天津联通 组播
CCTV-2,http://xuys.top:8888/udp/225.1.1.13:5002$天津联通 组播
CCTV-2,http://xuys.top:8888/udp/225.1.1.133:5002$天津联通 组播
CCTV-3,http://xuys.top:8888/udp/225.1.1.14:5002$天津联通 组播
CCTV-3,http://xuys.top:8888/udp/225.1.1.158:5002$天津联通 组播
CCTV-4,http://xuys.top:8888/udp/225.1.1.15:5002$天津联通 组播
CCTV-4,http://xuys.top:8888/udp/225.1.1.150:5002$天津联通 组播
CCTV-5,http://xuys.top:8888/udp/225.1.1.16:5002$天津联通 组播
CCTV-5+,http://xuys.top:8888/udp/225.1.1.121:5002$天津联通 组播
CCTV-5,http://xuys.top:8888/udp/225.1.1.160:5002$天津联通 组播
CCTV-6,http://xuys.top:8888/udp/225.1.1.17:5002$天津联通 组播
CCTV-6,http://xuys.top:8888/udp/225.1.1.195:5002$天津联通 组播
CCTV-7,http://xuys.top:8888/udp/225.1.1.18:5002$天津联通 组播
CCTV-7,http://xuys.top:8888/udp/225.1.1.138:5002$天津联通 组播
CCTV-8,http://xuys.top:8888/udp/225.1.1.19:5002$天津联通 组播
CCTV-8,http://xuys.top:8888/udp/225.1.1.196:5002$天津联通 组播
CCTV-9,http://xuys.top:8888/udp/225.1.1.20:5002$天津联通 组播
CCTV-9,http://xuys.top:8888/udp/225.1.1.119:5002$天津联通 组播
CCTV-10,http://xuys.top:8888/udp/225.1.1.21:5002$天津联通 组播
CCTV-10,http://xuys.top:8888/udp/225.1.1.140:5002$天津联通 组播
CCTV-11,http://xuys.top:8888/udp/225.1.1.22:5002$天津联通 组播
CCTV-11,http://xuys.top:8888/udp/225.1.2.192:5002$天津联通 组播
CCTV-12,http://xuys.top:8888/udp/225.1.1.23:5002$天津联通 组播
CCTV-12,http://xuys.top:8888/udp/225.1.1.142:5002$天津联通 组播
CCTV-13,http://xuys.top:8888/udp/225.1.1.24:5002$天津联通 组播
CCTV-13,http://xuys.top:8888/udp/225.1.2.193:5002$天津联通 组播
CCTV-14,http://xuys.top:8888/udp/225.1.1.25:5002$天津联通 组播
CCTV-14,http://xuys.top:8888/udp/225.1.1.144:5002$天津联通 组播
CCTV-15,http://xuys.top:8888/udp/225.1.1.26:5002$天津联通 组播
CCTV-15,http://xuys.top:8888/udp/225.1.2.194:5002$天津联通 组播
CCTV-16,http://xuys.top:8888/udp/225.1.2.237:5002$天津联通 组播
CCTV-17,http://xuys.top:8888/udp/225.1.2.52:5002$天津联通 组播
CCTV-兵器科技,http://xuys.top:8888/udp/225.1.2.166:5002$天津联通 组播
CCTV-第一剧场,http://xuys.top:8888/udp/225.1.2.175:5002$天津联通 组播
CCTV-电视指南,http://xuys.top:8888/udp/225.1.2.167:5002$天津联通 组播
CCTV-发现之旅,http://xuys.top:8888/udp/225.1.1.183:5002$天津联通 组播
CCTV-风云剧场,http://xuys.top:8888/udp/225.1.2.174:5002$天津联通 组播
CCTV-风云音乐,http://xuys.top:8888/udp/225.1.2.176:5002$天津联通 组播
CCTV-风云足球,http://xuys.top:8888/udp/225.1.2.168:5002$天津联通 组播
CCTV-高尔夫网球,http://xuys.top:8888/udp/225.1.2.169:5002$天津联通 组播
CCTV-怀旧剧场,http://xuys.top:8888/udp/225.1.2.173:5002$天津联通 组播
CCTV-女性时尚,http://xuys.top:8888/udp/225.1.2.172:5002$天津联通 组播
CCTV-世界地理,http://xuys.top:8888/udp/225.1.2.171:5002$天津联通 组播
CCTV-央视台球,http://xuys.top:8888/udp/225.1.2.170:5002$天津联通 组播
CCTV-央视文化精品,http://xuys.top:8888/udp/225.1.2.177:5002$天津联通 组播
